Responder	Division	PostdocComm	MoreEvents	Type	Time	Able	OtherPostdocs
28	IIM	Yes	Unsure	ResearchForum	Half-day	YesTime	Moderately
29	IIM	Yes	NA	SkillSharing	Hour	Yes	Poorly
30	COMGEN	YesKnow	Yes	Careers	FullDay	YesTime	Moderately
30	COMGEN	YesKnow	Yes	Social	FullDay	YesTime	Moderately
30	COMGEN	YesKnow	Yes	Networking	FullDay	YesTime	Moderately
31	IIM	YesKnow	Yes	SkillSharing	Hour	Yes	Moderately
31	IIM	YesKnow	Yes	Networking	Hour	Yes	Moderately
31	IIM	YesKnow	Yes	ResearchForum	Hour	Yes	Moderately
31	IIM	YesKnow	Yes	Careers	Hour	Yes	Moderately
31	IIM	YesKnow	Yes	Social	Hour	Yes	Moderately
32	IIM	YesKnow	Yes	SkillSharing	Half-day	YesTime	FairlyWell
32	IIM	YesKnow	Yes	Networking	Half-day	YesTime	FairlyWell
32	IIM	YesKnow	Yes	ResearchForum	Half-day	YesTime	FairlyWell
32	IIM	YesKnow	Yes	Careers	Half-day	YesTime	FairlyWell
32	IIM	YesKnow	Yes	Social	Half-day	YesTime	FairlyWell
33	COMGEN	YesKnow	Yes	SkillSharing	FullDay	YesTime	Moderately
33	COMGEN	YesKnow	Yes	Networking	FullDay	YesTime	Moderately
33	COMGEN	YesKnow	Yes	Careers	FullDay	YesTime	Moderately
33	COMGEN	YesKnow	Yes	Social	FullDay	YesTime	Moderately
34	COMGEN	Yes	Yes	SkillSharing	Hour	YesEncouraged	Moderately
34	COMGEN	Yes	Yes	Networking	Hour	YesEncouraged	Moderately
34	COMGEN	Yes	Yes	Careers	Hour	YesEncouraged	Moderately
34	COMGEN	Yes	Yes	Social	Hour	YesEncouraged	Moderately
35	COMGEN	Yes	Yes	SkillSharing	Half-day	YesTime	Moderately
35	COMGEN	Yes	Yes	Careers	Half-day	YesTime	Moderately
36	COMGEN	YesKnow	Yes	SkillSharing	Half-day	YesTime	Moderately
36	COMGEN	YesKnow	Yes	Networking	Half-day	YesTime	Moderately
36	COMGEN	YesKnow	Yes	ResearchForum	Half-day	YesTime	Moderately
36	COMGEN	YesKnow	Yes	Careers	Half-day	YesTime	Moderately
36	COMGEN	YesKnow	Yes	Social	Half-day	YesTime	Moderately
37	PPN	YesKnow	Yes	SkillSharing	FullDay	YesEncouraged	Moderately
37	PPN	YesKnow	Yes	ResearchForum	FullDay	YesEncouraged	Moderately
37	PPN	YesKnow	Yes	Careers	FullDay	YesEncouraged	Moderately
38	IIM	YesKnow	Unsure	ResearchForum	Hour	Yes	Moderately
38	IIM	YesKnow	Unsure	Social	Hour	Yes	Moderately
39	IIM	YesKnow	No	SkillSharing	Hour	YesTime	FairlyWell
39	IIM	YesKnow	No	ResearchForum	Hour	YesTime	FairlyWell
39	IIM	YesKnow	No	Social	Hour	YesTime	FairlyWell
40	PPN	Yes	No	Careers	NoTime	Yes	Poorly
41	DontKnow	Yes	Yes	Careers	Hour	No	Moderately
41	DontKnow	Yes	Yes	Social	Hour	No	Moderately
42	IIM	Yes	Unsure	SkillSharing	Other	YesTime	FairlyWell
42	IIM	Yes	Unsure	Networking	Other	YesTime	FairlyWell
42	IIM	Yes	Unsure	Careers	Other	YesTime	FairlyWell
43	COMGEN	YesKnow	Yes	Networking	Hour	YesTime	Moderately
43	COMGEN	YesKnow	Yes	ResearchForum	Hour	YesTime	Moderately
43	COMGEN	YesKnow	Yes	Careers	Hour	YesTime	Moderately
44	DontKnow	Yes	Yes	SkillSharing	Half-day	YesEncouraged	Moderately
44	DontKnow	Yes	Yes	Networking	Half-day	YesEncouraged	Moderately
44	DontKnow	Yes	Yes	Careers	Half-day	YesEncouraged	Moderately
44	DontKnow	Yes	Yes	Social	Half-day	YesEncouraged	Moderately
45	DontKnow	YesKnow	Unsure	SkillSharing	Half-day	YesTime	Moderately
45	DontKnow	YesKnow	Unsure	Networking	Half-day	YesTime	Moderately
45	DontKnow	YesKnow	Unsure	ResearchForum	Half-day	YesTime	Moderately
46	DontKnow	Yes	Unsure	SkillSharing	Half-day	YesTime	Moderately
46	DontKnow	Yes	Unsure	Networking	Half-day	YesTime	Moderately
46	DontKnow	Yes	Unsure	Careers	Half-day	YesTime	Moderately
47	IIM	Yes	Yes	SkillSharing	Hour	Yes	FairlyWell
47	IIM	Yes	Yes	Networking	Hour	Yes	FairlyWell
47	IIM	Yes	Yes	ResearchForum	Hour	Yes	FairlyWell
47	IIM	Yes	Yes	Careers	Hour	Yes	FairlyWell
47	IIM	Yes	Yes	Social	Hour	Yes	FairlyWell
48	COMGEN	YesKnow	Unsure	ResearchForum	Hour	YesTime	Moderately
48	COMGEN	YesKnow	Unsure	Social	Hour	YesTime	Moderately
49	COMGEN	Yes	Yes	ResearchForum	Half-day	YesTime	FairlyWell
49	COMGEN	Yes	Yes	Careers	Half-day	YesTime	FairlyWell
50	DontKnow	YesKnow	Yes	Social	FullDay	No	Moderately
50	DontKnow	YesKnow	Yes	Other	FullDay	No	Moderately
51	COMGEN	YesKnow	Yes	SkillSharing	Hour	YesTime	Moderately
51	COMGEN	YesKnow	Yes	Networking	Hour	YesTime	Moderately
51	COMGEN	YesKnow	Yes	ResearchForum	Hour	YesTime	Moderately
51	COMGEN	YesKnow	Yes	Careers	Hour	YesTime	Moderately
51	COMGEN	YesKnow	Yes	Social	Hour	YesTime	Moderately
52	IIM	No	Yes	SkillSharing	Half-day	Yes	Moderately
52	IIM	No	Yes	Networking	Half-day	Yes	Moderately
52	IIM	No	Yes	ResearchForum	Half-day	Yes	Moderately
53	DontKnow	YesKnow	Yes	SkillSharing	Half-day	YesTime	Moderately
53	DontKnow	YesKnow	Yes	Careers	Half-day	YesTime	Moderately
53	DontKnow	YesKnow	Yes	Social	Half-day	YesTime	Moderately
